term,definition,group,href,anchor,id
"HRV (heart rate variability)","Beat-to-beat variation in heart rhythm, used as a recovery signal — but not one number: Apple stores SDNN while Health Connect stores RMSSD, and the two are not interconvertible.","Health data & metrics","https://aifitnessapi.com/learn/what-is-hrv","#term-hrv","https://aifitnessapi.com/glossary#term-hrv"
"SDNN","The HRV statistic Apple HealthKit stores — the standard deviation of intervals between normal heartbeats. Do not mix it with RMSSD in one column.","Health data & metrics","https://aifitnessapi.com/matrix","#term-sdnn","https://aifitnessapi.com/glossary#term-sdnn"
"RMSSD","The HRV statistic Health Connect stores — the root mean square of successive interval differences. A different measure from SDNN, not a unit conversion away.","Health data & metrics","https://aifitnessapi.com/data/hrv-api","#term-rmssd","https://aifitnessapi.com/glossary#term-rmssd"
"VO2 max","An estimate of aerobic capacity. On consumer devices it is modeled from heart rate and pace, not measured — treat it as a trend, not a lab value.","Health data & metrics","https://aifitnessapi.com/learn/what-is-vo2-max","#term-vo2-max","https://aifitnessapi.com/glossary#term-vo2-max"
"SpO2 (blood oxygen)","Peripheral oxygen saturation from an optical sensor. A data type existing does not mean data will be there — it needs a device that measures it.","Health data & metrics","https://aifitnessapi.com/data/blood-oxygen-api","#term-spo2","https://aifitnessapi.com/glossary#term-spo2"
"Sleep stages","Light, deep, REM and awake segments a device infers from movement and heart rate. Definitions and boundaries differ by vendor, so they do not compare one-to-one.","Health data & metrics","https://aifitnessapi.com/learn/what-are-sleep-stages","#term-sleep-stages","https://aifitnessapi.com/glossary#term-sleep-stages"
"Active vs total calories","Active calories are the burn above rest; total adds basal metabolic rate. Providers disagree on which they report, which is a normalization trap.","Health data & metrics","https://aifitnessapi.com/learn/how-fitness-apps-estimate-calories","#term-active-vs-total-calories","https://aifitnessapi.com/glossary#term-active-vs-total-calories"
"Measured vs estimated","Some metrics are sensed (steps, heart rate); others are modeled (VO2 max, calories, some sleep). Storing the distinction keeps you from presenting a guess as a reading.","Health data & metrics","https://aifitnessapi.com/data","#term-measured-vs-estimated","https://aifitnessapi.com/glossary#term-measured-vs-estimated"
"HealthKit","Apple's on-device health store. Not a cloud API — there is no server endpoint; your app reads it locally with permission and syncs itself.","Platforms & providers","https://aifitnessapi.com/integrate/healthkit","#term-healthkit","https://aifitnessapi.com/glossary#term-healthkit"
"Health Connect","Android's on-device health store — Google's counterpart to HealthKit. Also local-only, and it deduplicates only Activity and Sleep, via its aggregate API.","Platforms & providers","https://aifitnessapi.com/integrate/google-health-connect","#term-health-connect","https://aifitnessapi.com/glossary#term-health-connect"
"Health-data aggregator","A third party (Terra, Rook, and others) that normalizes many wearable and health sources behind one API — often the right buy instead of building integrations yourself.","Platforms & providers","https://aifitnessapi.com/learn/what-is-a-health-data-aggregator","#term-health-data-aggregator","https://aifitnessapi.com/glossary#term-health-data-aggregator"
"Exercise database API","A catalogue of exercises with metadata and media. Watch the licensing — some open options are AGPL copyleft, which matters for closed-source apps.","Platforms & providers","https://aifitnessapi.com/fitness-apis/exercise-database-apis","#term-exercise-database-api","https://aifitnessapi.com/glossary#term-exercise-database-api"
"Fitness API","Any API a developer uses to get fitness or health data or content — wearables, aggregators, exercise or nutrition catalogues, or AI motion tracking. Choose by job.","Platforms & providers","https://aifitnessapi.com/learn/what-is-a-fitness-api","#term-fitness-api","https://aifitnessapi.com/glossary#term-fitness-api"
"OAuth (for health data)","The delegated-access handshake that lets a user grant your app read access to their provider account without sharing a password. The token lifecycle is where it breaks in production.","Integration & auth","https://aifitnessapi.com/learn/what-is-oauth-for-health-data","#term-oauth","https://aifitnessapi.com/glossary#term-oauth"
"Webhook","A provider-initiated callback telling you something changed. Most fitness webhooks are thin change-pointers, so the handler's job is usually to enqueue a fetch, not to trust the payload.","Integration & auth","https://aifitnessapi.com/learn/what-are-webhooks","#term-webhook","https://aifitnessapi.com/glossary#term-webhook"
"401 vs 403","A 401 means your token is bad, missing, expired or revoked; a 403 means the token is valid but lacks the scope. They point at different fixes.","Integration & auth","https://aifitnessapi.com/fix/fitness-api-401-unauthorized","#term-401-vs-403","https://aifitnessapi.com/glossary#term-401-vs-403"
"Rate limit / 429","A provider capping your request volume. 429 is defined in RFC 6585, where the Retry-After header is optional — so design to back off even when it is absent.","Integration & auth","https://aifitnessapi.com/fix/fitbit-api-429-rate-limit","#term-rate-limit-429","https://aifitnessapi.com/glossary#term-rate-limit-429"
"Refresh token rotation","When a provider issues a new refresh token on every refresh. Lose the new one and the user is disconnected permanently — a case worth testing explicitly.","Integration & auth","https://aifitnessapi.com/fix/refresh-token-not-working","#term-refresh-token-rotation","https://aifitnessapi.com/glossary#term-refresh-token-rotation"
"Pose estimation","Finding body keypoints in each camera frame. A normal RGB phone camera is enough for 2D and even monocular 3D — no depth sensor required.","AI motion & camera","https://aifitnessapi.com/learn/what-is-pose-estimation","#term-pose-estimation","https://aifitnessapi.com/glossary#term-pose-estimation"
"2D vs 3D pose","2D gives pixel coordinates; monocular 3D adds an estimated depth that is less reliable for occluded and out-of-plane joints. Say which you need.","AI motion & camera","https://aifitnessapi.com/motion/2d-vs-3d-pose-estimation","#term-2d-vs-3d-pose","https://aifitnessapi.com/glossary#term-2d-vs-3d-pose"
"Rep counting","Turning a keypoint stream into a count — a classification problem, tested with precision and recall against a labelled corpus, not a demo of ten push-ups.","AI motion & camera","https://aifitnessapi.com/motion/how-rep-counting-works","#term-rep-counting","https://aifitnessapi.com/glossary#term-rep-counting"
"Form feedback","Comparing joint angles and range of motion to a target. A coaching aid, not medical or physical-therapy advice — a distinction worth stating in the product.","AI motion & camera","https://aifitnessapi.com/motion/how-form-feedback-works","#term-form-feedback","https://aifitnessapi.com/glossary#term-form-feedback"
"On-device vs cloud inference","Running the model on the phone (low latency, private, no per-frame cost) versus in the cloud (heavier models, consistent, but latency and streaming-video privacy weight).","AI motion & camera","https://aifitnessapi.com/motion/on-device-vs-cloud-pose-estimation","#term-on-device-vs-cloud-inference","https://aifitnessapi.com/glossary#term-on-device-vs-cloud-inference"
"Deduplication","Resolving the same activity written by several apps or devices. Neither platform does it for raw reads the way people assume — it is a resolution layer you design.","Architecture & data quality","https://aifitnessapi.com/architecture/deduplicate-health-data","#term-deduplication","https://aifitnessapi.com/glossary#term-deduplication"
