date,sortDate,title,summary,status,source,sourceLabel,verifiedOn
"2026-12","2026-12-31","Google Fit APIs: end of documented support","Google's own documentation states Fit APIs ""will be supported until the end of 2026"" (verified against developer.android.com on July 31, 2026). Migration targets differ by integration shape: Health Connect on-device, Health Services on Wear OS, or the Google Health API for server-side reads.","confirmed","https://aifitnessapi.com/google-fit-shutdown","Google Fit shutdown hub","2026-07-31"
"2026-09","2026-09-20","Fitbit → Google Health side-by-side window reported to close","A window in which the legacy Fitbit Web API and the Google Health API run side by side is reported to extend into late September 2026 — the practical dual-read period for migrating integrations.","reported","https://aifitnessapi.com/migrate/fitbit-web-api-to-google-health","Fitbit → Google Health migration playbook","2026-08-11"
"2026-09","2026-09-15","Fitbit Web API turndown (reported window)","The legacy Fitbit Web API's retirement in favour of the cloud Google Health API is reported to land around September 2026. No official day is confirmed on a page we could verify; some third-party guides name September 30, which is weaker evidence, not stronger. Tokens are reported not to transfer — every user re-consents via Google OAuth.","reported","https://aifitnessapi.com/fitbit-api-shutdown","Fitbit API shutdown center","2026-08-11"
"2026","2026-06-01","Strava developer terms: Standard-tier subscription (reported)","Strava's developer access terms reportedly changed during 2026, with Standard-tier developers said to need a paid Strava subscription. The architectural constraints matter more than the fee: athlete data may generally only be displayed back to that athlete, and using it to train AI/ML models is prohibited.","reported","https://aifitnessapi.com/migrate/adapt-to-strava-api-changes","Adapting to Strava API changes","2026-08-12"
"2026-05","2026-05-15","Fitbit accounts: Google Account consolidation gate (reported)","Users on legacy Fitbit-only logins are reported to need consolidation into a Google Account by roughly mid-May 2026, and reportedly cannot use the successor API until they do — a gate on your migration, not a detail inside it.","reported","https://aifitnessapi.com/fitbit-api-shutdown","Fitbit API shutdown center","2026-08-11"
"2026","2026-04-01","WHOOP membership restructuring","WHOOP has restructured its membership recently. Because WHOOP requires both a developer membership and an active end-user membership for data to flow, a restructuring moves two columns of the cost model at once — verify current terms before budgeting.","reported","https://aifitnessapi.com/pricing/whoop-api-pricing","WHOOP API pricing","2026-08-12"
"2026","2026-03-01","Nutritionix open free tier reportedly curtailed","Reports conflict on whether Nutritionix's open free tier still exists; higher tiers route through a Syndigo sales contact. If the free tier is gone, the freemium classification shifts toward sales-gated.","reported","https://aifitnessapi.com/pricing/nutrition-api-pricing","Nutrition API pricing","2026-08-12"
"2025-12","2025-12-15","Oura personal access tokens deprecated","Oura deprecated personal access tokens in December 2025 — scripts and internal tools built on PATs need the OAuth flow instead. This page's phrasing has been quoted back to us in search queries, a sign assistants cite it.","confirmed","https://aifitnessapi.com/fix/oura-personal-access-token-deprecated","Oura PAT deprecation fix","2026-08-02"
"2025-06-30","2025-06-30","ANT+ membership and certification programs discontinued (reported)","Per widely-quoted announcements from the ANT+ organization — the official page was unreachable in our research pass, so this stays reported — the ANT+ membership and certification programs were discontinued on June 30, 2025, with certification applications accepted only until March 31, 2025. Device profiles and documentation reportedly remain available and existing devices are unaffected; coverage cites the EU Radio Equipment Directive as a driver. For new fitness apps, BLE is the practical default radio.","reported","https://aifitnessapi.com/devices/ant-plus-vs-bluetooth","ANT+ vs Bluetooth for fitness sensors","2026-08-14"
"2024","2024-07-01","Strava tightened its developer program","Strava tightened developer-program rules in 2024 — the start of the stricter display, branding, and access regime its API operates under today.","confirmed","https://aifitnessapi.com/migrate/adapt-to-strava-api-changes","Adapting to Strava API changes","2026-08-12"
"2024","2024-06-01","MoveNet: no model updates observed since 2024","No updates to the MoveNet pose models have been observed since 2024. The single-person models remain Apache-2.0; treat the weights as stable rather than evolving.","confirmed","https://aifitnessapi.com/motion/mediapipe-vs-movenet","MediaPipe vs MoveNet","2026-08-02"
"2024-05-01","2024-05-01","Google Fit: new developer sign-ups closed","Google closed Google Fit API sign-ups for new developers on May 1, 2024 — the first hard milestone of the Fit sunset. Existing integrations continued to work.","confirmed","https://aifitnessapi.com/google-fit-shutdown","Google Fit shutdown hub","2026-07-31"
"2023-04","2023-04-15","MediaPipe Pose Landmarker weights: last modification","The served MediaPipe Pose Landmarker .task model files were last modified in April 2023. The framework evolves; the pose weights have not — pin versions and treat model updates as an event, not a stream.","confirmed","https://aifitnessapi.com/motion/mediapipe-pose-landmarker-models","Pose Landmarker model guide","2026-08-02"
