identifier,objcConstant,family,group,abstract,aggregation,unitFamily,valueEnum,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"activeEnergyBurned","HKQuantityTypeIdentifierActiveEnergyBurned","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the amount of active energy the user has burned.","cumulative","energy",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/activeenergyburned"
"appleExerciseTime","HKQuantityTypeIdentifierAppleExerciseTime","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the amount of time the user spent exercising.","cumulative","time",,"9.3","2.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/appleexercisetime"
"appleMoveTime","HKQuantityTypeIdentifierAppleMoveTime","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the amount of time the user has spent performing activities that involve full-body movements during the specified day.","cumulative","time",,"14.5","7.4","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applemovetime"
"appleSleepingBreathingDisturbances","HKQuantityTypeIdentifierAppleSleepingBreathingDisturbances","HKQuantityTypeIdentifier","Mindfulness and Sleep",,,,,"18.0","11.0","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applesleepingbreathingdisturbances"
"appleSleepingWristTemperature","HKQuantityTypeIdentifierAppleSleepingWristTemperature","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that records the wrist temperature during sleep.","discrete","temperature",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applesleepingwristtemperature"
"appleStandTime","HKQuantityTypeIdentifierAppleStandTime","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the amount of time the user has spent standing.","cumulative","time",,"13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applestandtime"
"appleWalkingSteadiness","HKQuantityTypeIdentifierAppleWalkingSteadiness","HKQuantityTypeIdentifier","Mobility","A quantity sample type that measures the steadiness of the user’s gait.","discrete","percentage",,"15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applewalkingsteadiness"
"atrialFibrillationBurden","HKQuantityTypeIdentifierAtrialFibrillationBurden","HKQuantityTypeIdentifier","Vital signs","A quantity type that measures an estimate of the percentage of time a person’s heart shows signs of atrial fibrillation (AFib) while wearing Apple Watch.","discrete","percentage",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/atrialfibrillationburden"
"basalBodyTemperature","HKQuantityTypeIdentifierBasalBodyTemperature","HKQuantityTypeIdentifier","Reproductive health","A quantity sample type that records the user’s basal body temperature.","discrete","temperature",,"9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/basalbodytemperature"
"basalEnergyBurned","HKQuantityTypeIdentifierBasalEnergyBurned","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the resting energy burned by the user.","cumulative","energy",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/basalenergyburned"
