section,criterion,weight,sdk_a,sdk_b,sdk_c,notes
Setup,Accepts recorded clips through an injectable frame source,,,,,"Yes / no / screen-replay fallback only. A refusal is a finding, not a footnote — score it."
Setup,SDK version and build recorded for this run,,,,,"Not scored for quality; fill it in so the row is reproducible. Include OS version and device."
Setup,Time to first successful integration (engineer-days),,,,,"Your own measured effort, not the vendor's quickstart estimate."
Rep accuracy,Per-clip rep precision — fair clips,,,,,"Share of counted reps that really happened. Per clip, never pooled. Report separately from recall."
Rep accuracy,Per-clip rep recall — fair clips,,,,,"Share of real reps that were counted. Under-counting is the complaint users write down."
Rep accuracy,Per-clip rep precision — known-hard clips,,,,,"Clips deliberately outside the documented operating envelope. Track as trend; do not let them gate."
Rep accuracy,Per-clip rep recall — known-hard clips,,,,,"Same clips as the row above. Report both directions or a compensating error hides."
Rep accuracy,False positives on non-rep clips,,,,,"Abandoned reps, clothing adjustment, re-gripping, racking. Expected count: zero."
Rep accuracy,False positives on the negative clip,,,,,"Person visible and moving, not exercising. Expected count: zero. Cheapest clip in the corpus."
Rep accuracy,Behaviour with a second person or mirror in frame,,,,,"Does the tracker switch skeletons? Does the count jump? Note the failure mode, not just pass/fail."
Rep accuracy,Behaviour at the worst plausible camera angle,,,,,"Graceful degradation or an explicit refusal both pass. Counting confidently and wrongly fails."
Form feedback,Cue fires on the staged deviation,,,,,"Per exercise, per deviation you filmed. Correctness only — latency is the next row."
Form feedback,Cue stays silent on a clean rep,,,,,"False-positive rate for coaching cues. A chatty coach is an uninstalled coach."
Form feedback,Cue latency after the movement (ms),,,,,"A correct cue two seconds late is a cue about a rep the user already finished."
Form feedback,Cue text is usable in your product without rewriting,,,,,"Wording, tone, localisation. Judgement call — record the reasoning in this cell."
Performance,Time to first tracking from cold start (ms),,,,,"Measure on your worst target device, not your best. Conversion metric in performance clothing."
Performance,p95 frame latency — pass 1 of the soak,,,,,"Baseline for the drift row below. Emit the per-frame CSV as a build artifact."
Performance,Thermal soak drift — p95 latency pass 8 vs pass 1,,,,,"Eight back-to-back passes of one 3-minute clip, cold start, screen on, no charger."
Performance,Thermal soak drift — rep count pass 8 vs pass 1,,,,,"A count that changes as the silicon throttles. No container can produce this number."
Performance,Offline behaviour in airplane mode,,,,,"Graceful degradation, queue, hang, or blank screen. Observe and note; weight only if your users train offline."
Performance,Result consistency across the three device classes,,,,,"A vendor that only works on your newest phone has not passed."
Procurement (get in writing — not scored),Current pricing and the unit it scales on,,,,,"Per active user / session / device / inference-minute. The unit decides your cost curve, not the number."
Procurement (get in writing — not scored),On-device or edge processing guarantee for YOUR configuration,,,,,"Written, configuration-specific. Treat words like 'optional edge processing' as a question, not an answer."
Procurement (get in writing — not scored),Model update cadence and advance notice,,,,,"A model bump moves keypoints, which moves your thresholds. Ask whether you can pin a version."
Procurement (get in writing — not scored),SLA and behaviour during service degradation,,,,,"Especially relevant where the camera experience is hosted rather than in-process."
Procurement (get in writing — not scored),"Data retention: what is stored, where, and for how long",,,,,"Video versus derived events only. Route through your compliance owner before the trial, not after."
Procurement (get in writing — not scored),"Exit terms: export, content ownership, notice period",,,,,"What you can take with you and how much warning ends the contract."
Fit question (not a score),Shipped exercise and content library needed?,,,,,"Scope match, not a quality signal. Scoring this rewards vendors shaped like a particular buyer."
Fit question (not a score),White-label theming needed?,,,,,"Or are you consuming raw events into your own UI?"
Fit question (not a score),Platform coverage required at parity,,,,,"iOS, Android, web, React Native, Flutter. Verify parity in the trial rather than from a table."
Fit question (not a score),Native SDK or embedded hosted experience,,,,,"Decides how much of the pixel-level experience you own. Neither shape is wrong."
Fit question (not a score),Consumer or clinical/rehab scope,,,,,"Paying for clinical scope you do not need is as much a mismatch as lacking it when you do."
