id,label,appleHealthKit,androidHealthConnect,watchOut,source
"heart-rate","Heart rate","HKQuantityTypeIdentifier.heartRate, .restingHeartRate","HeartRateRecord, RestingHeartRateRecord","Both expose samples plus a separate resting value — don't derive resting yourself.","https://aifitnessapi.com/data/heart-rate-api"
"hrv","HRV","HKQuantityTypeIdentifier.heartRateVariabilitySDNN","HeartRateVariabilityRmssdRecord","The big one: Apple stores SDNN, Health Connect stores RMSSD. They are different measures and are not interconvertible — do not normalize one into the other.","https://aifitnessapi.com/data/hrv-api"
"vo2-max","VO2 max","HKQuantityTypeIdentifier.vo2Max","Vo2MaxRecord","An estimate on both platforms, not a lab measurement. Health Connect tags a measurement method.","https://aifitnessapi.com/data/vo2-max-api"
"blood-oxygen","Blood oxygen","HKQuantityTypeIdentifier.oxygenSaturation","OxygenSaturationRecord","The type existing doesn't mean data exists — SpO2 is device-gated, and Apple Watch availability in the US has been subject to litigation. Verify current status.","https://aifitnessapi.com/data/blood-oxygen-api"
"sleep","Sleep","HKCategoryTypeIdentifier.sleepAnalysis (values: inBed, awake, asleepCore, asleepDeep, asleepREM, asleepUnspecified)","SleepSessionRecord (carries stages)","Stage vocabularies differ and stages are estimated, not measured. Apple's .asleep is deprecated in favour of the specific stages.","https://aifitnessapi.com/data/sleep-tracking-api"
"steps","Steps","HKQuantityTypeIdentifier.stepCount (CMPedometer for live counts)","StepsRecord, StepsCadenceRecord","De-duplicate: phone and watch both write steps. On Android, from the June 2026 update on-device steps are attributed to a per-device Synthetic Package Name — read it via getCurrentDeviceDataSource(), never hardcode it.","https://aifitnessapi.com/data/step-counting-api"
"workouts","Workouts","HKWorkout (HKWorkoutBuilder)","ExerciseSessionRecord, PlannedExerciseSessionRecord","Activity-type taxonomies differ between platforms — map them explicitly rather than by name.","https://aifitnessapi.com/data/workout-detection-api"
"gps-route","GPS route","HKWorkoutRoute (array of CLLocation), HKWorkoutRouteQuery","ExerciseRoute with ExerciseRoute.Location","Health Connect gates routes behind their own permission (READ_EXERCISE_ROUTES) and restricts background reads of other apps' routes.","https://aifitnessapi.com/data/gps-activity-api"
"calories","Calories","HKQuantityTypeIdentifier.activeEnergyBurned, .basalEnergyBurned","ActiveCaloriesBurnedRecord, TotalCaloriesBurnedRecord","Modelled estimates, not measurements. Note the asymmetry: Apple splits active/basal, Android offers active and total — don't add active to total.","https://aifitnessapi.com/data/calorie-tracking-api"
"body-composition","Body composition","HKQuantityTypeIdentifier.bodyMass, .bodyFatPercentage, .leanBodyMass, .bodyMassIndex","WeightRecord, BodyFatRecord, LeanBodyMassRecord, BoneMassRecord, BodyWaterMassRecord, BasalMetabolicRateRecord","The store holds it, but something has to write it — usually a smart scale or manual entry. Body fat is a bioimpedance estimate.","https://aifitnessapi.com/data/body-composition-api"
