identifier,objcConstant,group,abstract,aggregation,unitFamily,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"activeEnergyBurned","HKQuantityTypeIdentifierActiveEnergyBurned","Activity","A quantity sample type that measures the amount of active energy the user has burned.","cumulative","energy","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/activeenergyburned"
"appleExerciseTime","HKQuantityTypeIdentifierAppleExerciseTime","Activity","A quantity sample type that measures the amount of time the user spent exercising.","cumulative","time","9.3","2.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/appleexercisetime"
"appleMoveTime","HKQuantityTypeIdentifierAppleMoveTime","Activity","A quantity sample type that measures the amount of time the user has spent performing activities that involve full-body movements during the specified day.","cumulative","time","14.5","7.4","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applemovetime"
"appleSleepingBreathingDisturbances","HKQuantityTypeIdentifierAppleSleepingBreathingDisturbances","Mindfulness and Sleep",,,,"18.0","11.0","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applesleepingbreathingdisturbances"
"appleSleepingWristTemperature","HKQuantityTypeIdentifierAppleSleepingWristTemperature","Body measurements","A quantity sample type that records the wrist temperature during sleep.","discrete","temperature","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applesleepingwristtemperature"
"appleStandTime","HKQuantityTypeIdentifierAppleStandTime","Activity","A quantity sample type that measures the amount of time the user has spent standing.","cumulative","time","13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applestandtime"
"appleWalkingSteadiness","HKQuantityTypeIdentifierAppleWalkingSteadiness","Mobility","A quantity sample type that measures the steadiness of the user’s gait.","discrete","percentage","15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/applewalkingsteadiness"
"atrialFibrillationBurden","HKQuantityTypeIdentifierAtrialFibrillationBurden","Vital signs","A quantity type that measures an estimate of the percentage of time a person’s heart shows signs of atrial fibrillation (AFib) while wearing Apple Watch.","discrete","percentage","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/atrialfibrillationburden"
"basalBodyTemperature","HKQuantityTypeIdentifierBasalBodyTemperature","Reproductive health","A quantity sample type that records the user’s basal body temperature.","discrete","temperature","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/basalbodytemperature"
"basalEnergyBurned","HKQuantityTypeIdentifierBasalEnergyBurned","Activity","A quantity sample type that measures the resting energy burned by the user.","cumulative","energy","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/basalenergyburned"
"bloodAlcoholContent","HKQuantityTypeIdentifierBloodAlcoholContent","Alcohol consumption","A quantity sample type that measures the user’s blood alcohol content.","discrete","percent","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodalcoholcontent"
"bloodGlucose","HKQuantityTypeIdentifierBloodGlucose","Lab and test results","A quantity sample type that measures the user’s blood glucose level.","discrete",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodglucose"
"bloodPressureDiastolic","HKQuantityTypeIdentifierBloodPressureDiastolic","Vital signs","A quantity sample type that measures the user’s diastolic blood pressure.","discrete","pressure","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodpressurediastolic"
"bloodPressureSystolic","HKQuantityTypeIdentifierBloodPressureSystolic","Vital signs","A quantity sample type that measures the user’s systolic blood pressure.","discrete","pressure","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodpressuresystolic"
"bodyFatPercentage","HKQuantityTypeIdentifierBodyFatPercentage","Body measurements","A quantity sample type that measures the user’s body fat percentage.","discrete","percent","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodyfatpercentage"
"bodyMass","HKQuantityTypeIdentifierBodyMass","Body measurements","A quantity sample type that measures the user’s weight.","discrete","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodymass"
"bodyMassIndex","HKQuantityTypeIdentifierBodyMassIndex","Body measurements","A quantity sample type that measures the user’s body mass index.","discrete","count","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodymassindex"
"bodyTemperature","HKQuantityTypeIdentifierBodyTemperature","Vital signs","A quantity sample type that measures the user’s body temperature.","discrete","temperature","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodytemperature"
"crossCountrySkiingSpeed","HKQuantityTypeIdentifierCrossCountrySkiingSpeed","Activity","A quantity sample type that measures how fast you are traveling while cross country skiing.","discrete","distance per time","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/crosscountryskiingspeed"
"cyclingCadence","HKQuantityTypeIdentifierCyclingCadence","Activity","A quantity sample type that represents the rate at which the user is pedaling.","discrete","counts per minute","17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingcadence"
"cyclingFunctionalThresholdPower","HKQuantityTypeIdentifierCyclingFunctionalThresholdPower","Activity","A quantity sample type that measures the estimated maximum average power sustained while riding a bike for 60 minutes.","discrete","power","17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingfunctionalthresholdpower"
"cyclingPower","HKQuantityTypeIdentifierCyclingPower","Activity","A quantity sample type that measures the estimated power being used while riding a bike.","discrete","power","17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingpower"
"cyclingSpeed","HKQuantityTypeIdentifierCyclingSpeed","Activity","A quantity sample type that measures how fast you are traveling while riding a bike.","discrete","distance per time","17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingspeed"
"dietaryBiotin","HKQuantityTypeIdentifierDietaryBiotin","Nutrition","A quantity sample type that measures the amount of biotin (vitamin B7) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarybiotin"
"dietaryCaffeine","HKQuantityTypeIdentifierDietaryCaffeine","Nutrition","A quantity sample type that measures the amount of caffeine consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycaffeine"
"dietaryCalcium","HKQuantityTypeIdentifierDietaryCalcium","Nutrition","A quantity sample type that measures the amount of calcium consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycalcium"
