id,label,category,devCost,userSideCost,approvalGate,source
"fitbit","Fitbit Web API (Google)","wearable-direct","free","Each user must own a Fitbit device and account.","Developer app registration; access to other users' intraday data is case-by-case (verify).","https://aifitnessapi.com/pricing/fitbit-api-pricing"
"garmin","Garmin Health / Activity API","wearable-direct","contact-sales","Your users must own a Garmin device.","Garmin Connect Developer Program partner approval; third parties report sign-ups paused at times (verify).","https://aifitnessapi.com/pricing/garmin-api-pricing"
"oura","Oura Cloud API","wearable-direct","free","User must own an Oura Ring; Gen3 users reportedly need an active Oura Membership (verify).","A fresh app connects only a small number of users (reported around 10) until Oura's review — the 'Oura for Organizations' partner path.","https://aifitnessapi.com/pricing/oura-api-pricing"
"whoop","WHOOP Developer Platform","wearable-direct","free","Every end user needs an active WHOOP membership for their data to flow.","Hard 10-member cap until production approval, and WHOOP requires developers to hold a membership.","https://aifitnessapi.com/pricing/whoop-api-pricing"
"strava","Strava API","wearable-direct","free-tier-then-paid","A free or paid Strava account — the user's data has to exist before it can flow.","Developer Program display rules: 'Connect with Strava' branding and screenshots of every surface where Strava data appears.","https://aifitnessapi.com/pricing/strava-api-pricing"
"polar","Polar Open AccessLink","wearable-direct","free",,,"https://aifitnessapi.com/fitness-apis/wearable-data-apis"
"healthkit","Apple HealthKit","platform-store","free",,"App Store review checks that your health usage-description strings match what you actually do.","https://aifitnessapi.com/fitness-apis/apple-healthkit-vs-google-health-connect"
"health-connect","Google Health Connect","platform-store","free",,"Play Console health-data declaration and review before you can publish.","https://aifitnessapi.com/fitness-apis/apple-healthkit-vs-google-health-connect"
"terra","Terra","aggregator","usage-based",,,"https://aifitnessapi.com/fitness-apis/terra-vs-vital"
"junction","Junction (formerly Vital)","aggregator","usage-based",,,"https://aifitnessapi.com/fitness-apis/terra-vs-vital"
"rook","Rook","aggregator","usage-based",,"Several underlying providers still need your own developer credentials — confirm tier caps.","https://aifitnessapi.com/pricing/health-data-aggregator-pricing"
"spike","Spike","aggregator","contact-sales",,"Sales-assisted onboarding with a dedicated implementation engineer from sandbox.","https://aifitnessapi.com/fitness-apis/health-data-aggregator-apis"
"nutritionix","Nutritionix","nutrition","free-tier-then-paid",,"Higher tiers are gated through a Syndigo sales contact rather than a self-serve checkout.","https://aifitnessapi.com/pricing/nutrition-api-pricing"
"edamam","Edamam","nutrition","free-tier-then-paid",,,"https://aifitnessapi.com/pricing/nutrition-api-pricing"
"usda-fdc","USDA FoodData Central","nutrition","free",,,"https://aifitnessapi.com/pricing/nutrition-api-pricing"
"open-food-facts","Open Food Facts","nutrition","free",,,"https://aifitnessapi.com/pricing/nutrition-api-pricing"
"exercisedb","ExerciseDB (via RapidAPI)","exercise-content","free-tier-then-paid",,,"https://aifitnessapi.com/pricing/exercise-database-api-pricing"
"wger","wger (self-hosted)","exercise-content","free",,,"https://aifitnessapi.com/compare/exercisedb-vs-wger"
"kinestex","KinesteX","motion-sdk","contact-sales",,"Access runs through a contact form and an issued API key — no self-serve signup.","https://aifitnessapi.com/compare/kinestex-vs-sency"
"sency","Sency (SMKit)","motion-sdk","contact-sales",,"Free trial first (no credit card, per the vendor's site at our last check), then a sales conversation.","https://aifitnessapi.com/fitness-apis/ai-workout-tracking-apis"
"quickpose","QuickPose","motion-sdk","free-tier-then-paid",,,"https://aifitnessapi.com/fitness-apis/ai-workout-tracking-apis"
"mediapipe","MediaPipe Pose Landmarker (BlazePose)","pose-model","free",,,"https://aifitnessapi.com/compare/kinestex-vs-mediapipe"
"movenet","TensorFlow MoveNet","pose-model","free",,,"https://aifitnessapi.com/motion/mediapipe-vs-movenet"
"apple-vision","Apple Vision body pose","pose-model","free",,,"https://aifitnessapi.com/fitness-apis/ai-workout-tracking-apis"
"llm-apis","LLM API (coaching, plan generation, food parsing)","llm-features","usage-based",,,"https://aifitnessapi.com/ai/ai-fitness-app-cost"
